District Name,District Code,Block Name,Block Code,Cluster Code,School Name,UDISE Code,School Management,School Category,PP3(Boys),PP3(Girls),PP3(Trans),PP3(Total),PP2(Boys),PP2(Girls),PP2(Trans),PP2(Total),PP1(Boys),PP1(Girls),PP1(Trans),PP1(Total),Class 1(Boys),Class 1(Girls),Class 1(Trans),Class 1(Total),Class 2(Boys),Class 2(Girls),Class 2(Trans),Class 2(Total),Class 3(Boys),Class 3(Girls),Class 3(Trans),Class 3(Total),Class 4(Boys),Class 4(Girls),Class 4(Trans),Class 4(Total),Class 5(Boys),Class 5(Girls),Class 5(Trans),Class 5(Total),Class 6(Boys),Class 6(Girls),Class 6(Trans),Class 6(Total),Class 7(Boys),Class 7(Girls),Class 7(Trans),Class 7(Total),Class 8(Boys),Class 8(Girls),Class 8(Trans),Class 8(Total),Class 9(Boys),Class 9(Girls),Class 9(Trans),Class 9(Total),Class 10(Boys),Class 10(Girls),Class 10(Trans),Class 10(Total),Class 11(Boys),Class 11(Girls),Class 11(Trans),Class 11(Total),Class 12(Boys),Class 12(Girls),Class 12(Trans),Class 12(Total),Total Boys,Total Girls,Total Trans,Grand Total
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922531,ITAPARA UP SCHOOL,19260207907,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,19,20,13,0,33,10,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,0,72
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,JAMGRAM ANCHALIK HIGH SCHOOL (H.S.),19260201703,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,41,0,93,67,58,0,125,66,63,0,129,120,118,0,238,130,167,0,297,25,49,0,74,56,90,0,146,516,586,0,1102
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,JAMGRAM R.B.F.P. SCHOOL,19260201802,1,1,0,0,0,0,0,0,0,0,17,12,0,29,11,10,0,21,13,5,0,18,8,14,0,22,16,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,48,0,113
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,JAMGRAM UTTAR F.P. SCHOOL,19260201702,1,1,0,0,0,0,0,0,0,0,5,9,0,14,14,12,0,26,9,6,0,15,11,12,0,23,11,11,0,22,7,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,65,0,122
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,JAMJURIA F.P. SCHOOL,19260202001,1,1,0,0,0,0,0,0,0,0,3,3,0,6,6,3,0,9,4,7,0,11,4,2,0,6,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,38
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,JANARDAN SAYER F.P. SCHOOL,19260208301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,1,3,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,10
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920830,JOYRAMDANGA F.P. SCHOOL,19260200102,1,1,0,0,0,0,0,0,0,0,9,16,0,25,15,13,0,28,12,11,0,23,14,15,0,29,12,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,67,0,129
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920830,JOYRAMDANGA JR. HIGH SCHOOL,19260200104,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,19,24,14,0,38,14,10,0,24,8,13,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,44,0,102
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,KALIDASDHOWRA F.P. SCHOOL,19260208401,1,1,0,0,0,0,0,0,0,0,4,4,0,8,3,3,0,6,1,1,0,2,6,4,0,10,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,0,32
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,KALIKAMALI SSK,19260201704,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
